"","topic","numSim","w0","w1","w2","w3","w4","w5","w6","w7","w8","w9"
"274","guidance_document",5,"guidance_document","aquatic_ecotoxicology","terrestrial_ecotoxicology","guidance_documents","guidance","","","","",""
"275","materials",6,"materials","contact_with","aids","food_afc","removed_including_screenings","food_additives_flavourings_processing","","","",""
"276","cells",10,"cells","cytoplasm","cell","epithelial_cells","nuclei","unscheduled","human_derived_hepatoma","mitotic","bacterial_cells","metaphase"
"277","incidence",4,"incidence","frequency","prevalence","numbers","","","","","",""
"278","small",10,"small","large","smaller","relatively_small","larger","greater","very_small","even","while","higher"
"279","rotational_crops",6,"rotational_crops","succeeding_crops","rotational_succeeding_crops","ec_1997c","primary_crops","rotational_crop_studies","","","",""
"280","week",5,"week","vs_week_6","month","weeks","pre_mating_period","","","","",""
"281","commission",4,"commission","european_commission","asked","authority","","","","","",""
"282","function",7,"function","cellular","functional","disruption","alteration","contraction","transporters","","",""
"283","natural",6,"natural","mainly","102_pfu_ml","local","rvf_virus","fomite","","","",""
"284","reduce",10,"reduce","prevent","minimise","reducing","minimize","increase","avoid","eliminate","subsequent","through"
"285","exceeded",6,"exceeded","exceed","exceeding","higher_than","lower_than","well_below","","","",""
"286","infants",10,"infants","young_children","adolescents","infant","babies","older_infants","pregnant_women","complementary_foods","second_half_year","special_formulae"
"287","mg_kg_bw_per",10,"mg_kg_bw_per","mg_kg_bw_day","maternal_noael","hmt_kg_bw","developmental_noael","sorbic_acid_kg_bw","oecd_sids_2002","12000_ppm","nagao_2006","mg_kg_b_w"
"288","efsa_q",10,"efsa_q","efsa_q_2008","efsaq","00260","00962","00362","00262","00769","00284","00706"
"289","lead",6,"lead","contribute","reduce","occur","may_lead","leads","","","",""
"290","commission_regulation_ec",8,"commission_regulation_ec","no_1565_2000","2000_hereafter_named","ec_2000a","lays_down","ec_2000a_named","schematic_form","18_july_2000","",""
"291","measures",10,"measures","control_measures","eradicate_csf","rules","preventive_measures","ai_vaccination","good_husbandry","personnel","biosecurity_measures","standards"
"292","management",10,"management","husbandry","biosecurity","improving","animal_welfare","economic","environmental","practices","communication","infrastructure"
"293","generally",10,"generally","less","often","even","very","usually","most","while","especially","frequently"
"294","second",5,"second","third","first","another","experiment","","","","",""
"295","mg_kg_b_w",10,"mg_kg_b_w","mg_kg_bw_day","mg_kg_bw","kg_b_w","oral_doses","mycelial_narasin","nicl2","mg_δ9_thc","mg_ni","mg_kg_bw_per"
"296","annex_iiia_point",4,"annex_iiia_point","annex_iia_point","laboratory_tests_typhlodromus_pyri","8_preliminary_screening","","","","","",""
"297","bacteria",10,"bacteria","bacterial","antimicrobial_resistance_genes","bacterial_cells","strains","pathogenic","bacteria_carrying","acquired_genes","trans_kingdom","microorganisms"
"298","committee",10,"committee","joint_fao_who_expert","food_additives_jecfa","sixteenth","seventeenth_report","food_additives","ipcs_who_geneva_switzerland","sixty_third_report","sixty_third_meeting","sixty_first_meeting"
"299","transmission",10,"transmission","infection","spread","transmissibility","bites","wild_birds","lsdv","mlv_strains","rvf_virus","asian_lineage_h5n1_hpaiv"
"300","belgium",10,"belgium","ireland","austria","germany","czech_republic","finland","portugal","united_kingdom","spain","denmark"
"301","apples",10,"apples","tomatoes","grapes","potatoes","strawberries","lettuce","pome_fruit","bananas","apples_pears","cucumber"
"302","candidate_substances",10,"candidate_substances","candidate_substance","four_candidate_substances","nine_candidate_substances","five_candidate_substances","ten_candidate_substances","supporting_substances","seven_candidate_substances","six_candidate_substances","eight_candidate_substances"
"303","surveillance",10,"surveillance","surveillance_programmes","eradication","bait_uptake","passive_surveillance","emergency_vaccination","orv_programmes","surveillance_systems","surveillance_activities","ai_vaccination"
"304","panel_considers_that",5,"panel_considers_that","panel_notes_that","panel_concludes_that","food_constituent_non_digestible","food_constituent_glycaemic_carbohydrates","","","","",""
"305","market",9,"market","placing","histomonostats_manufacturing","glufosinate_tolerant_soybean_a2704","glufosinate_tolerant_genetically_modified","rice_llrice62","events_ms8_rf3","event_gt73","rape_ms8_x_rf3",""
"306","populations",10,"populations","sandfly","domesticated","regions","arriving_vectors","areas","livestock","wildlife","uncontrolled_movements","farmed_ss"
"307","scientific_panel",10,"scientific_panel","aids","food_additives_flavourings_processing","request_from","panel","citation_purposes_opinion","biological_hazards","genetically_modified_organisms","commission_related","food_afc_issued"
"308","march",10,"march","april","february","june","november","july","january","september","december","october"
"309","denmark",10,"denmark","sweden","germany","finland","belgium","ireland","spain","united_kingdom","norway","netherlands"
"310","threshold",10,"threshold","540_µg_person","1800_microgram_person_day","concern","1800_microgram_capita_day","exceeds","800_µg_person","thresholds","structural_class_iii","structural_class"
"311","austria",10,"austria","belgium","hungary","czech_republic","luxembourg","greece","slovakia","lithuania_romania","slovenia","ireland"
"312","male",10,"male","female","female_dogs","female_spraguedawley_rats","female_sprague_dawley_rats","female_beagle_dogs","female_rats","four_female_beagle","wist","five_female_sprague"
"313","dogs",8,"dogs","cats","domestic","horses","foxes","camels","wild_carnivores","other_canids","",""
"314","bbch",10,"bbch","bbch_40","small_herbivorous_common_vole","mammal_vole_microtus_arvalis","mammal_shrew_sorex_araneus","small_insectivorous_common_shrew","large_herbivorous_rabbit","mammal_mouse_apodemus","small_omnivorous_wood_mouse","mammal_lagomorph_oryctolagus"
"315","models",9,"models","model","approaches","modelling_approaches","statistical_techniques","simulation_models","model_outputs","statistical_models","q_sar_models",""
"316","campylobacter",10,"campylobacter","campylobacter_spp","salmonella","vtec","listeria","yersinia","indicator_bacteria","salmonella_enteritidis","salmonella_spp","commensal_enterococci"
"317","doi_10_2903_j",10,"doi_10_2903_j","2014_3734","2013_3295","safety_authority_2015a","efsa_2011_2092","2013_3365","2009_1051","safety_authority_2012b","2011_2489","3895"
"318","vegetables",10,"vegetables","vegetable_juices","vegetable_products","savoury_snacks","fruit","vegetable","vegetable_juices_grains","pomace_oil","dried_fruit","dried_fruits"
"319","slaughter",10,"slaughter","slaughtering","carcasses","carcass","slaughter_process","slaughterhouses","abattoir","slaughterhouse","evisceration","before_slaughter"
"320","duration",10,"duration","onset","current_flow","time","brain_death","brain_ischaemia","intensity","cessation","tonic_phase","cycles"
"321","contaminated",10,"contaminated","contamination","or_indirectly_via","cat_faeces","undercooked_meat","through_direct_contact","can_contaminate","crosscontamination","contaminate","acquired_through"
"322","claim",7,"claim","health_claim","glucose_contributes","food_constituent_non_digestible","supplemental_folate","food_constituent_bimuno_gos","nutriose_06","","",""
"323","usually",10,"usually","often","sometimes","frequently","generally","very","typically","even","normally","rarely"
"324","role",5,"role","highly_pathogenic_avian_influenza","migratory_birds","play","spread","","","","",""
"325","seen",10,"seen","noted","observed","evident","pathological_findings","accompanied_by","marked","histopathological_change","slight","recorded"
"326","guidelines",4,"guidelines","principles","standards","protocols","","","","","",""
"327","addressed",4,"addressed","needs","discussed","clarified","","","","","",""
"328","rabbits",5,"rabbits","rats","horses","guinea_pigs","mice","","","","",""
"329","short_term",4,"short_term","long_term","acute","chronic","","","","","",""
"330","discussed",7,"discussed","agreed","experts_meeting","epco_experts_meeting","expert_meeting","addressed","experts","","",""
"331","september",10,"september","april","july","june","august","november","october","february","march","january"
"332","furthermore",10,"furthermore","moreover","however","although","additionally","concluded_that","nevertheless","fact_that","indicate_that","since"
"333","agreed",9,"agreed","discussed","experts_meeting","expert_meeting","experts","epco_meeting","questioned","rms","epco_expert_meeting",""
"334","even",10,"even","generally","still","probably","less","very","especially","possibly","occur","while"
"335","daily",8,"daily","per_day","day","average_daily","body_weight","weekly_measurements","maximum_daily","average","",""
"336","influence",6,"influence","impact","effect","affect","influences","depend","","","",""
"337","food_constituent",4,"food_constituent","sufficiently_characterised","food_constituent_bimuno_gos","health_claim","","","","","",""
"338","trial",10,"trial","experiment","study6","gestating_sows","pietrain","balance_trial","nine_replicates_per","euroc","adaptation_period","third_trial"
"339","formation",10,"formation","oxidative","glycidaldehyde","reactive_intermediates","cleavage","oxidation","hydrolysis","cyp2e1","epoxidation","oxidative_cleavage"
"340","risks",5,"risks","hazards","assessing","risk","public_health","","","","",""
"341","kidney",10,"kidney","liver","kidneys","liver_kidney","muscle","spleen","liver_kidneys","pancreas","stomach_intestines","lung"
"342","april",10,"april","february","june","september","october","november","july","march","january","december"
"343","establishment",5,"establishment","introduction","s_chrysanthemi_into","potential_consequences","essentially_eliminates","","","","",""
"344","consideration",5,"consideration","meeting_structurally_related","aliphatic_acyclic_acetals","fge","benzyl_derivatives_evaluated","","","","",""
"345","hazard",8,"hazard","ss_shed","hazards","very_infectious_agent","ss_become_infected","likelihood","factors_affecting_immunity","exchange_may_occur","",""
"346","july",10,"july","june","april","january","september","february","december","november","october","march"
"347","surface_water",10,"surface_water","ground_water","m05_m09","drainage","groundwater","runoff_routes","sediment","drainage_routes","via_runoff","via_drainage"
